nikon	sigma	lenses, the same can be said about early Nikon lenses. But over the last twenty years or so, the quality of Sigma lenses has greatly improved, to the point where their best lenses are the equal to the best Nikon lenses for the most part, with very few exceptions. And even in those few cases, Sigma beats Nikon prices by an often considerable margin. Both Sigma and Nikon manufacture and sell more than one “level of quality” lens line. Until recently, Sigma sold both a standard line of lenses as well as a higher quality and slightly more expensive group of lenses called “EX”. They recently changed from the EX designation for their top-of-the-line lenses to the “ART” and “SPORTS” designations. As far as customer service goes, in my own experience Sigma and Nikon both offer excellent repair service, with Sigma having a slight edge since they are a smaller company and can therefore offer a more personal experience. In some functions on some lenses, Nikon has a slight edge over Sigma, but you pay much more for those Nikon extras, and they offer only minor improvements, which most users won’t need. One good way to identify good lenses is to see how many of them are used by professionals. Not long ago it was rare to find Sigma lenses being used by professional photographers at major sporting events, but now Sigmas are very common at such events. If pro shooters whose income rides on producing great photos are using Sigma lenses, that says a lot about their quality.	A lens is basically pieces of special glass, (elements) or in lesser lenses, plastic. The cost of the optical glass blanks used to make the very best lenses in the world, such as Leitz or Zeiss,  is very high. The cost of the glass that goes into a lens that is priced at 1/3 the cost, just won't be as good. In other words, not all lenses that are similar in most other qualities are built out of equal components. There is also the precision of grinding the lens, which requires skills of the highest order, although, to tell the truth, that difference has narrowed between high price lenses and medium priced lenses, in the last few years, because of omputer and other technologies. Nikkor and Canon lenses, as with the less expensive lenses, vary according to quality with different, sometimes bewildering, names and letters designating one class over another. They aren't, however, usually the very best in the world, with notable exceptions, and they aren't priced as high as the finest lenses either. ($5,500 for a Leitz lens is not uncommon.) That conceded, both Canon and Nikkor make some excellent lenses. Off-brand or third party companies such as Tokina, Tamron, or Sigma also make some good lenses, but fewer, usually not at the highest level,  not always that much less expensive - but, on average, bargains.  Even if some of their lenses are not so good, even for the money, usually the image quality of pictures taken with most of these lenses is passable and perhaps better than passable. The tendency, however, is that you get what you pay for, but to obtain that final15% of lens performance, you may often have to more than double your cost. But there's a lot more to this subject.  A 35mm lens, for example, that is to be compared to another 35mm lens needs to have similar specs. Among other things. they should be similar in speed.  How fast a lens is, or its speed, measures how well it works in low light conditions. How good is it a gathering light, not just at focussing light. Two lenses that work about the same in sunlight may be very different just after the sun goes down. Whatever brand you buy an F 1.4 35mm lens will be considerably more expensive than a 2.8 lens, even if the slower lens is better in average lighting conditions, which does happen. Then, there are lens coatings, with some of the better lenses employing rare earths and nano crystals. That can effect the quality of shadow detail color aberration, or flare. All those many considerations are the result of lens design, the dedication towards perfection, and the cost of the materials. Finally, two lenses that are equal performers in most ways could be very unequal in build quality and resistance to, say, heat or moisture. Sometimes the difference between prosumer lenses and professional lens, or camera bodies, may come down to only that. With third party lenses build quality is often why they are less expensive rather than just their features and specs. In fact, build quality aside, image quality is often fine, and very occasionally even superior to main brands, to the big guns like Nikon or Canon. You need to do your research. You will need to learn what is being measured between lenses, such as types of distortion, vignetting, sharpness across the field, meaning on the edges of the image compared to the middle. Some of these measurement differences are far from critical, others can make a huge differences, and that is partly based on what you are taking pictures of and in what conditions.	I own and use around twenty Sigma lenses, and almost as many Nikon (Nikkor) lenses, all on Nikon cameras. I consider the two brands to be about equal in quality, sharpness and reliability.While some people experienced some quality control issues with a few early Sigma lenses, the same can be said about early Nikon lenses. But over the last twenty years or so, the quality of Sigma lenses has greatly improved, to the point where their best lenses are the equal to the best Nikon lenses for the most part, with very few exceptions. And even in those few cases, Sigma beats Nikon prices by an often considerable margin.Both Sigma and Nikon manufacture and sell more than one “level of quality” lens line. Until recently, Sigma sold both a standard line of lenses as well as a higher quality and slightly more expensive group of lenses called “EX”. They recently changed from the EX designation for their top-of-the-line lenses to the “ART” and “SPORTS” designations.As far as customer service goes, in my own experience Sigma and Nikon both offer excellent repair service, with Sigma having a slight edge since they are a smaller company and can therefore offer a more personal experience.In some functions on some lenses, Nikon has a slight edge over Sigma, but you pay much more for those Nikon extras, and they offer only minor improvements, which most users won’t need. One good way to identify good lenses is to see how many of them are used by professionals. Not long ago it was rare to find Sigma lenses being used by professional photographers at major sporting events, but now Sigmas are very common at such events. If pro shooters whose income rides on producing great photos are using Sigma lenses, that says a lot about their quality.	A lens is basically pieces of special glass, (elements) or in lesser lenses, plastic. The cost of the optical glass blanks used to make the very best lenses in the world, such as Leitz or Zeiss,  is very high. The cost of the glass that goes into a lens that is priced at 1/3 the cost, just won't be as good. In other words, not all lenses that are similar in most other qualities are built out of equal components. There is also the precision of grinding the lens, which requires skills of the highest order, although, to tell the truth, that difference has narrowed between high price lenses and medium priced lenses, in the last few years, because of omputer and other technologies.Nikkor and Canon lenses, as with the less expensive lenses, vary according to quality with different, sometimes bewildering, names and letters designating one class over another. They aren't, however, usually the very best in the world, with notable exceptions, and they aren't priced as high as the finest lenses either. ($5,500 for a Leitz lens is not uncommon.) That conceded, both Canon and Nikkor make some excellent lenses.Off-brand or third party companies such as Tokina, Tamron, or Sigma also make some good lenses, but fewer, usually not at the highest level,  not always that much less expensive - but, on average, bargains.  Even if some of their lenses are not so good, even for the money, usually the image quality of pictures taken with most of these lenses is passable and perhaps better than passable. The tendency, however, is that you get what you pay for, but to obtain that final15% of lens performance, you may often have to more than double your cost.But there's a lot more to this subject.  A 35mm lens, for example, that is to be compared to another 35mm lens needs to have similar specs. Among other things. they should be similar in speed.  How fast a lens is, or its speed, measures how well it works in low light conditions. How good is it a gathering light, not just at focussing light. Two lenses that work about the same in sunlight may be very different just after the sun goes down. Whatever brand you buy an F 1.4 35mm lens will be considerably more expensive than a 2.8 lens, even if the slower lens is better in average lighting conditions, which does happen.Then, there are lens coatings, with some of the better lenses employing rare earths and nano crystals. That can effect the quality of shadow detail color aberration, or flare. All those many considerations are the result of lens design, the dedication towards perfection, and the cost of the materials.Finally, two lenses that are equal performers in most ways could be very unequal in build quality and resistance to, say, heat or moisture. Sometimes the difference between prosumer lenses and professional lens, or camera bodies, may come down to only that. With third party lenses build quality is often why they are less expensive rather than just their features and specs. In fact, build quality aside, image quality is often fine, and very occasionally even superior to main brands, to the big guns like Nikon or Canon. You need to do your research. You will need to learn what is being measured between lenses, such as types of distortion, vignetting, sharpness across the field, meaning on the edges of the image compared to the middle. Some of these measurement differences are far from critical, others can make a huge differences, and that is partly based on what you are taking pictures of and in what conditions.	If you want an objective third party test of image quality differences from various lenses for your camera go to DxO Mark (http://www.dxomark.com/index.php...).The web page above compares the Sigma and Nikon 70-200mm f/2.8 lenses to one another.  Here's a thumbnail of the results:The Nikon scores higher overallThe Nikon has greater resolution 58 lp/mm versus 47 lp/mm in the SigmaThe Nikon has less distortionThe Sigma has less vignetteThe Nikon is heavierI recommend DxO Mark for an quantifiable review of image sensors and lenses.  I know of no other extensive source for information this good.
honda	toyota	I’ve been driving a honda city AT for almost 7 years and have never faced any challenge whatsoever with the car. The only major expenses include Two sets of tyres, Insurance And fuel. The car has done over 110k and still drives like a dream. Toyota on the other hand being twice as expensive feels like a premium car and is rock solid trouble free, worry free car. The biggest expense here was insurance. This one has done 25k and feels like We bought it yesterday. In terms of comfort Toyota is far superior than any car in the industry be it the driver or the passengers there is no match for Innova. Honda city on the other hand is superb in driving. It’s steering is so light that anyone can drive it with ease. There is no engine sound at idling. Super smooth ride and you reach in comfort to your destination. Long drives for the passengers is not as good as Innova though.	Once Toyota was built way stronger then Honda. Today they are more or less the same when it regards conventional cars. However they use quite different hybrid approaches. Hybrides of Toyota more sophisticated, fuel efficient, though also more fragile and expensive. The technology build the way, where computer always switches moment on wheels between electric and conventional motor, depends on driving mode. It may drive on pure electric mode, when slow. They worth most, when drive primarily across the city. Honda uses so called “mild hybrid”, where electricity only helps conventional motor to accelerate faster. Respectively their engines less fuel efficient, thought built simpler, cheaper and more reliable. Even when batteries will be exhausted, the car still will be roadworthy, thought less efficient and less powerful.	In terms of statistics, Honda are just on-top of Toyota - but both are in respectable positions within reliability tables. In terms of repair costs, they are pretty much the same. I have heard off a few people that certain Toyota models have been rushed off the production line, which leads to some build issues - I've got no evidence for this, though. I have never owned a Toyota, but the amount of them that appear on the roads is a testament to their popularity & reliability. Honda, however, I can sing first-hand praises for. My brother has owned Civics for the past four-or-so years, and both of his have been so reliable that even our dad, who is a devoted German car fan, has conceded and admitted that the Civics are more reliable than most cars he's driven. I started driving a Civic last October, and I've had a bad one: so far, I've had to have a new clutch and flywheel (premature wear - 75,000 miles on a diesel); new shock absorbers that are in need of replacement again; a turbo that won't stop whistling & a clogged EGR valve; and, just in time for the winter, a blower motor that has packed-up. All in, I've probably equalled the car's value in cost of repairs. However, I would buy another Civic in a heartbeat, if I could afford to. I am completely sold on their reliability; I've just had a bad one. As for a choice between the two: for me, I would choose Honda, as they are incredible to drive & there is a vast array of cars available. However, someone might be just as passionate about Toyota - and fair play to them for being so!	Hondas are a bit more engaging to drive, Toyotas tend to be isolated. Toyotas have more available features, Hondas are simpler. Toyota also has more available models. If you want a large SUV, a solid work truck, big towing capacity or serious off road capability, Honda doesn't have anything for you.	
java	scala	For Android, Java is the best option as far as general development is concerned. All the APIs are in Java and it is the default language for Android development. As far as Scala is concerned there might be a way to use it for Development but it not standard. Same goes for iOS	Java 8 will have lambda support, but Scala have much more great things such as: pattern matching, multiple inheritance through Traits, macros, string interpolation and more. Scala is growing much faster. I don't see any reason to continue working with Java	It comes down to your hiring needs: quality vs. quantity. If you're going to be hiring 1 really good programmer per month, or at a lower frequency than that, then use Scala. Good programmers can do a lot more with Scala than with Java. If you're going to be hiring 10 developers per week for the next 6 months, and you don't care about how good they are (some work doesn't need a top developer) then you should probably use Java.	IMHO Scala over Java because surface area is lower (you code less, see more and solve bugs easier) also there are more fictional paradigms.	
eclipse	netbeans	Probably the biggest difference that will affect you, between Eclipse and NetBeans, is the way they manage projects.  Eclipse invented their own concept of what a “project” is, and build tools such as Make, Ant, Maven, Gradle, etc. have to be shoehorned into that.  This is what makes using something like Maven in Eclipse painful. With NetBeans, we made a very conscious decision to use existing build tools’ metadata as NetBeans projects.  So if a folder has a build file in it, it simply is a project. If you’re just learning programming, that won’t affect you much.  But if you’re working professionally, on existing projects and other people’s code, it makes a huge difference, for several reasons: You know that what you build in your IDE is exactly the same thing you’d build on the command-line or for a production release (modulo “compile on save” which some project types support).  You get a lot fewer “but it works for me” kind of situations There’s no “configure your system to develop X” phase, which wastes a lot of teams' time - you just open the project and go. So, when it comes to doing professional software development, NetBeans is likely to give you fewer headaches.	All major IDEs are pretty good and you can use any of them. But when things are very similar in their feature set, small things matter, and since as a developer you'll spend a lot of time with your IDE, they matter more. I personally prefer NetBeans, here's why: I'm working as a consultant in many different companies. Many of them use Eclipse. And every project has their own Eclipse. A specific version setup with a couple of plugins, and everyone has to use that. So I end up with one Eclipse installation per project. That's simply annoying. It's probably not such a big problem, if you're working on the same project for 2 years. Most projects I'm working with use Maven, so often I can simply use NetBeans. The Maven support in NetBeans is definitely miles ahead of Eclipse. In Eclipse things like Annotation Processors don't work out of the box in Maven projects. So you need to find a plugin, learn how to configure it, and then make sure it's compatible with your other plugins. That's tedious and a waste of time, especially if you're in a project only for a week to help fix some problems. In Eclipse I also had problems with generated classes, as Eclipse has it's own compiler that sometimes clashes with javac when you also use Maven to build. Often the build runs without problems from the commandline, but doesn't when starting it from Eclipse. I'm sure this is a solvable problem, but I prefer to spend my time coding. Another problem is that Eclipse doesn't listen to the file system for changes which forces you to refresh very often. If you're in a project that uses Maven, NetBeans is the better choice, because it simply works. That said NetBeans has it's problems too, e.g. while a maven repo is indexed it slows down horribly, which is annoying. But alltogether the tools are much better integrated and it's designed to get out of your way. E.g. when I wrote a book on JavaFX I wanted to show how to create a project with all three major IDEs. With NetBeans it was a 3 step process, with Eclipse it took 8 steps.	Eclipse Pros: Huge amount of plugins. Big ecosystem. Eclipse Cons:Hard to start with due to the low out-of-box functionality. Most of the basic things need plugins to be installed and configured. So many changes between versions. It's really complex to figure out the right one to use. Interface is not user friendly. This might be due to me working on NetBeans since day one, but is the same feedback I get from fellow programmers. NetBeans Pros: Bigger out-of-box exprience. There are a few flavors of the IDE, those being a set of bundled plugins already bundled based on technology (C, Java SE, Java EE, PHP, etc.). Even if you pick the wrong one, you can get what you need by creating or opening a project. User friendly interface. Since is done by Oracle, it has support for newer Java versions earlier than any other IDE. This is important if you want to live in the bleeding edge of technology. After version 5.0, the platform is pretty stable and upgrading is seemless. Netbeans Cons: The amount of plug-ins or 3rd party plugins might be low. Eclipse seems to have bigger 3rd party support.		
apple	ibm	IBM was king of the big iron when computers were giant room filled contraptions. They jumped in the desktop thinking they could control this new market but was quickly bypassed as PC’s were commodities and MS was willing to sell them an OS. THey could not compete in the fast ever changing market. Apple has provided tech products for the end user, in the first years, the buying power of enterprise engulfed the industry but after 20 years, that has faded and now Apple is the only company that consistent delivers products that consumers want to buy.They have no real competition in any category - yes, they have competitors but most only sell about 15% in direct competition with Apple.	IBM has a long a good history in innovation and technology. Unfortunately ibm rested on its laurels and only became interested in shareholder value, not in customer value over time. Apple has done similar things. They push and push for their products without actually listening to customers like I would expect. Does that mean that Apple will have a near death experience like ibm? I would argue that apple’s near death experience in the early 1990s was in fact worse than what ibm went through. at the end of the day, Apple makes products that people want to buy and do based on their paying. Ibm has never fully recovered and seems to be going in a race to the bottom to be cheap.	by the time that Apple and Microsoft were founded IBM was the very embodiment of Eisenhower era enterprise-scale industry. The post-war world was busy manufacturing a newly minted middle class at scale from soldiers returning from World War II and the GI Bill to put them through school and in cookie cutter homes in suburbia. It was a weird period of cold war terror and paranoia and a optimisim that science and engineering could solve everything if you put enough people on the problem. It was that belief that Man had conquered and mastered nature and that nothing was impossible that made IBM what it was. I remember seeing pictures from an IBM campus from the 50’s or 60’s showing trees which had been cut into cubes. The message was clear. Conformity was king, the chaotic roaring twenties, the great depression and then the world war and the ever present threat of nuclear armageddon was never far from people’s minds. But remember as well that IBM was not only Big Iron. It was also the IBM Selectric Typewriter which was an astonishing accomplishment. Anyone who has had to do any substantial typing on cheap electric or mechanical typewriters and then moved to a Selectric can tell you that it was a life changing event. These were such amazing machines that even the most iconic publication to come out of the counterculture, Steward Brand’s Whole Earth Catalog was created on a Selectric. And I remember they included a glowing description of the machine and how amazing the service IBM provided was. What many people forget is that IBM had been fighting off new technology long before the PC came along. DEC (Digital Equipment) with the PDP and Vax lines of minicomputers and other company such as Wang from the Route 128 tech belt around Boston shrank computers that had required entire floors into a handful of machines the size of fridges and washing machines. With Big Iron a company had one monster computer. With mini computers single departments could run their own systems. The Unix operating system was developed on a DEC PDP. Not long after Sun Microsystems came along and shrunk these systems even smaller. The PC was developed in this larger context of the minicomputer revolution. Wang and Dec both produced stand alone word processers that looked like a PC but could only do world processing. These machines could run rings around the Selectric. So IBM was being hit from all different directions at the same time. What IBM, Xerox and the others didn’t understand was that as computers became smaller and cheaper, so would their profit margins. They couldn’t get their heads around the idea of a commodity computer. A computer to them was not something you just plugged in and used it required a huge amount of infrastructure to install and operate it. Microsoft was a trojan horse going, sneaking in on a floppy disk. Apple was actually much more like IBM than Microsoft, insisting on building both their own hardware and software, keeping it locked down and proprietary and their margins high. Microsoft was only different because they didn’t build their own hardware. Both companies grew up in a world where computing had moved from a centralized mainframe to a computer on every desk. Computing had moved to the edge of networks. So they never could become an IBM. It was a different world, a different market and technological model. The surprising thing is what has happened to IBM since then. IBM pivoted from a hardware company to a services company, fully embraced the Open Source model and has gone on to do some remarkable work. Apple is still stuck in the same model they used when they started. Microsoft waited too long to pivot and didn’t even start until after Gates and Balmer had left. I have my doubts that the tiger will be able to change it’s stripes. But in one sense, IBM didn’t so much change its stripes as much as keep the stripes and morph into a zebra. Since then, computing has become a cloud where no one sees the computers any longer and software is largely part of an open commons. Everything is now a service layer on top of that infrastructure as public utility. Microsoft is trying to become that as well and doing okay, but their time has passed. Over time they will not be able to leverage their dominance on the desktop to keep people using their rather bland barely functional products. And if they can’t keep customers locked into their ecosystem then eventually they too will just be another giant infrastructure company. Apple will be one of the last holdouts. They had been at the right place and time to become an major cloud player, but they couldn’t let go of their hardware being at the center of everything. And besides, Apple is more a consumer electronics company like Sony or Sumsung now. They have all but abandoned the idea of the PC as a general purpose computer.		
objective-c	swift	Swift brings a lot of advantages over Objective-C. Perhaps the most important to existing iOS/OS X developers is the new features it brings like better type safety, better memory management, multiple return values, and a bunch of functional paradigms. All these features mean that seasoned developers will not have to spend as long coding. Apple also boasts increased performance over Objective-C (and they even compared it to Python since it can act like a scripting language). Another great feature is its interoperability with existing Objective-C code. Looking through the Swift reference, it seems pretty trivial to mix and match old Objective-C code with Swift code, which will make the process of converting apps an easier, more iterative one. Swift is also great for people interesting in developing for iOS/OS X. Objective-C is a notoriously difficult language since its syntax is unlike that of any other major programming language. Swift's syntax is much more concise and friendly, taking some influence from languages like Python, Ruby, and Rust. It's hard to think of any huge downsides to using Swift rather than Objective-C. The only thing I can think of is that some developers might not be so keen on converting their apps since they've invested so much time into learning and using Objective-C and their codebases are likely big. Apple hasn't given a future date for when they plan to drop support for Objective-C (maybe they never will?). But the interoperability of Swift and Objective-C and fun of learning a new language make that somewhat hard to believe.	After reading tons of answers on similar questions I see a lot of speculations. Like Objective-C is harder to read and it is difficult language. Oh, really ?! Then I will say that .swift all-in-one files (header + implementation) is not easy to read and exclamation marks are awful =) I really don't think it is somehow helpful. Swift actually better in various things. Enums - it is hard to compare Objective-C enums that almost useless and Swift enums that have so many features. Or new guard and defer - it is just amazing. Swift gives you ability to write more expressive code and has all modern language features. Good old Objective-C is really poor in this things. But also Apple won't maintain two languages at the same platform. They can just say - no more Objective-C use it in only in special cases like wrapping C++ for Swift and that's all. They actually can (remember 64 bit support or IPv6). Anyway it is a speculation as well )	Pros: Swift is easier to read and write. It has less overhead and syntax requirements, and you can often achieve the same line of code using less characters. Swift can result in shorter overall code length. Swift is a functional programming language, which means you can do neat tricks like passing functions as variables. This means you can write highly generic code that can do a lot of different things, reducing repetition. Swift has some clever tricks up its sleeve, again due to having elements of a functional programming language. Things like 'map' and 'filter' for example. Swift is 'safer' - there's less memory management to worry about (basically none, compared to C). Cons: Most examples out there are written in Objective C (as of mid 2015). This isn't a big hindrance, but you should always at least learn to READ Objective C. At a minimum, translation isn't too hard. On a similar note, there aren't as many seasoned developers if you're hiring. Swift is a moving target. They've released 1.2 so far, and 2.0 is coming soon. Every small update brings adjustments to paradigms (such as how to do type casting) that can be a little frustrating to absorb. Objective C was also constantly updating, however, but not at the same rate these days. You have to use Xcode. For me this is totally fine, but others complain as they want to use third-party IDEs that have surpassed Xcode in stability and features		
java	perl	Perl is still a very useful language, and has a vibrant community releasing major and minor upgrades multiple times per year. There are more Perl programmers today than during the first dot-com boom. It’s just a smaller piece of a much bigger pie. The biggest problem Perl faces is that managers can’t find enough Perl people to hire. The kids all want the latest cool languages, believing Perl is past its prime. This unfortunately influences some managers to abandon Perl, because they can’t find anyone. Sad.	You know only Perl. The main difficulty will be the deeply Object Oriented nature of Java and typing of variables. The Perl data structures will map easily to Java ones though. Perl arrays could be either Java primitive arrays or instances of the ArrayList class (or maybe some other Collection). The control structures (loops, if/else) are largely the same and easily translated. You'll need to build the discipline of declaring your variable to be of a specific type. Overall this should be easier than (2). If you know any Java then this would be harder since the Perl code will, at first, will be hard for you to read. Going from a Java HashMap to a Perl hash, for example, is conceptually easy but syntactically difficult due to Perl's brevity and Java's verbosity. Again the main control structures are the same. I absolutely love Perl, but will acknowledge that for someone whose first language is Java that it might take a little bit to get your head around the syntax and different Perl idioms. Once you get into it for a bit I hope you'll take a step back and reflect on just how great a tool Perl is. If you are in (2) pick up a copy of Learning Perl and work through some exercises before even thinking about starting your script translation work! This is the hardest path to take, just in terms of effort required. On the upside you get to learn Perl. Yay!	Java is all about classes and methods and such.  Perl doesn't really require classes and the ones it does have are afterthoughts and not so wonderful.    The rest of Perl is a mish-mash of random and not too well thought out features.		
bash	python	I’ll stand firmly on the fence here, and say “both”. I use bash (or zsh) as my command shell, and python to run various system utilities and also for slightly heavier development. Each language has strengths and weaknesses; bash’s tight coupling to the filesystem and integrated piping, as well as support for running utilities etc make it more useful as a command shell. It’s also useful for wrapping external programs (making scripts to setup paths etc). That’s not to say python can’t do those things, but bash is better at it (IMO). Python is good for when you want to make a more complex script, or to use any of its many built-in utilities. A good sysadmin will be proficient at both (or bash and perl).	Bash is the shell. You won't be doing anything on Linux without it. The shell is the command interpreter., without it you cannot do anything including use python. It also provides the scripting language that is responsible for even booting the system. If you are talking about which one is more important, bash is because it is vital. Python has some modules that interface with Linux, But it does this through bash. Python is easier to use. But bash is far more powerful. You can use Linux without python, but not without bash.	Bash and Python aren’t even comparable. One is used for terminal scripts, whilst the latter is used for general programs and applications, both of which run well under Linux. It is impossible to answer this question!		
dell	hewlett-packard	If you are looking for posh look & good Built-in quality & your purchasing price range is about ₹ 55k to 60K than go for HP. If you are looking for average look & Normal build in quality & your price range is around ₹ 50K than go for DELL. HP laptops Advantages Best built-in quality. Stylish look. Damage protection. Disadvantages Higher price Cost. Bad Service provider. DELL Advantage: Good Configuration with little experience price. Good service provider. Disadvantage Normal Built-in quality. Average look.	1) Price: Both HP and Dell provides the best price laptops. Dell sell their laptops directly they avoid selling through retailers hence it's slightly cheaper than HP whereas HP uses both type of selling direct as well as through retailers hence its little bit costly than Dell. 2) Performance and Features: HP has better performance and features than Dell this might be due to it's entertainment-centric laptops with lots of features. Dell lack this features. 3) Options: Dell laptops offer more options to choose from for specific models, and HP has more models of computers with their own set of options to choose from.Dell often offers such specials as a free 120GB upgrade or extra RAM, and is good for those who are looking for more storage. 4) Build and Hardware: There is a noticeable difference between Dell and HP laptops. It is their appearance. Dell laptops seem to have a standard look while HP have a glossy appearance. Therefore many people think that HP has more attractive laptops than Dell. 5) Customer service and Warranty: Dell is known for it's excellent customer service and warranty. It also offers accident coverage so it's good for a traveler. 6) Verdict: So if you want to spend more to have good warranty option then i will suggest you to go for Dell Laptop.	Dell provides better service than HP. One thing I don’t like about HP is they do not provide is the whole information of their product on their website. Say for example, if the GPU variant is DDR3 or GDDR5, most of the time it won’t be mentioned. HP laptops tend to get some or the other damage.		
awk	sed	Both can accomplish the same task . Syntactically, the one which is better to use may differ depending on the expected task.You  have a huge file and a particular requirement like, Replace  specific characters or patterns in a file . get only the lines in the range containing a start pattern and end pattern and replace it with a new pattern, use a matched string in a line and replace only a part of it with another string or character, use sed. and if you need to, work with a file which has records separated by a delimiter or space and it is required to print/edit those records. Within a specific column, you need to loop through or check for a condition on a character or a string. Execute additional code blocks before traversing the entire file and after traversing the entire file ( BEGIN and END ), use awk.	sed is a stream editor. It works with streams of characters on a per-line basis. It has a primitive programming language that includes goto-style loops and simple conditionals (in addition to pattern matching and address matching). There are essentially only two "variables": pattern space and hold space. Readability of scripts can be difficult. Mathematical operations are extraordinarily awkward at best. There are various versions of sed with different levels of support for command line options and language features. awk is oriented toward delimited fields on a per-line basis. It has much more robust programming constructs including if/else, while, do/while and for (C-style and array iteration). There is complete support for variables and single-dimension associative arrays plus (IMO) kludgey multi-dimension arrays. Mathematical operations resemble those in C. It has printf and functions. The "K" in "AWK" stands for "Kernighan" as in "Kernighan and Ritchie" of the book "C Programming Language" fame (not to forget Aho and Weinberger). One could conceivably write a detector of academic plagiarism using awk.	sed command- sed is a stream editor. It provides the capability to modify, insert, delete, format the text data at command line itself. awk command- awk is programming language generally used for text processing and formatting. It provides the facility to specify pattern, command/actions on the command line or in a program file to process the text and generate the formatted report by manipulating the data available in datafile.		
