OBJECT A,OBJECT B,ASPECT,ASPECT BELONGS TO,MOST FREQUENT RATING,ROLE,CONFIDENCE,AMOUNT OF GOOD RATINGS,AMOUNT OF BAD RATINGS,SENTENCE EXAMPLE 1,SENTENCE EXAMPLE 2,SENTENCE EXAMPLE 3,SENTENCE EXAMPLE 4,SENTENCE EXAMPLE 5
golf,hockey,spot,golf,BAD,,1.0,0,1,color: black tv show: 24 nhl team growing up: quebec nordiques nhl player growing up: ray bourque food: easy to make steak movie: silence of the lambs car: bmw m5 brand of skates: ccm brand of hockey stick: tps former islander: mike bossy board game: monopoly sport (other than hockey): golf superpower: being unbeatable band: nickelback vacation spot: hawaii comic character: bart simpson non-north american city: stockholm snack food: yogurt stadium food: montreal hot dogs,miro's favorite things: color: blue team growing up: czechoslovakian national team player growing up: mario lemieux arena outside long island: bell centre (montreal) food: italian movie: big lebowski car: mercedes benz brand of skates: bauer brand of hockey stick: reebok former islander: mike bossy board game: chess sport (other than hockey): golf band: guns n' roses vacation spot: italy and mexico non-north american city (not in slovakia): rome stadium food: popcorn,,,
golf,hockey,greater,golf,BAD,,1.0,0,1,"in fact, athletes in individual sports (i.e., golf, tennis, and track & field) reported greater reduced sense of accomplishment levels than athletes on team sports (i.e., baseball, basketball, and hockey).","first, athletes in individual sports (i.e., golf, tennis, and track & field) reported greater reduced sense of accomplishment (ra) levels than athletes in team sports (i.e., baseball, basketball, and hockey).","football, with its greater numbers and established golf tournament, led the way by raising $42,000, but club sports such as sailing ($17,000) and women's hockey ($6,000) also did remarkably well.","whereas sky has not just 4 dedicated channels, but also the facilities to broadcast just about anything from recorded programmes featuring obscure motorsport events (world motorsport), to stuff that wouldn't get a look-in from anyone else - netball, speedway, triathlon, hockey, and far greater coverage of more mainstream sports than the terrestrial channels ever manage - premiership rugby, us open tennis, wall to wall golf, cricket and nfl coverage.",
golf,hockey,prof,golf,BAD,,1.0,0,1,"being in a massive hockey market, i can't think of a better fit for us than the greyhounds,  says ryan bastien, head golf professional.","prof. mcphee got the idea for the puck-smacking robot about five years ago, while researching golf technology, which he said is typically several years ahead of hockey in innovation.",,,
golf,hockey,arm,golf,BAD,,1.0,0,1,,,,,
golf,hockey,mcphee,golf,BAD,,1.0,0,1,"prof. mcphee got the idea for the puck-smacking robot about five years ago, while researching golf technology, which he said is typically several years ahead of hockey in innovation.",,,,
golf,hockey,faster,hockey,GOOD,PREDICATE-FULL,1.0,1,0,however hockey is much faster game than golf.,"in some games like cricket, golf and polo you not need to move all the time but in some games like football, hockey and rugby you need a faster movement.",,,
golf,hockey,club,golf,BAD,,1.0,0,1,,,,,
golf,hockey,easier,hockey,GOOD,PREDICATE-FULL,1.0,0,1,it's easier to play golf than hockey.,it's easier to play hockey well than golf.,"but to just start playing a sport, it's much easier to just start playing golf than to start playing hockey.","""playing hockey at a high level and then transferring it over to golf, i think that makes it a little bit easier to focus,"" the 23-year-old dupuis said.","this is not and ethnic thing , its just that we have ice 6 months out of the year and it is easier for children to play hockey than to chase golf balls."
golf,hockey,safer,hockey,GOOD,PREDICATE-FULL,1.0,1,0,"adult hockey is really very safe, probably safer than golf or tennis and certainly safer than soccer in terms of injury rate.",,,,
golf,hockey,tiger,hockey,BAD,,1.0,0,1,"anyone that can produce such excellent sports titles as nhl hockey, madden football, fifa soccer and nba live can certainly produce a better golf sim than this tiger woods series has been.","not much a hockey guy but, will watch golf when tiger wood is playing.","tiger doesn't like hockey, the same way some hockey fans might not like golf, or some people like classical music and others prefer rock and roll.",i kept looking around for tiger woods and phil mickelson because it was more like being at a golf match than a hockey game.,he lists golf as one of his hobbies on his official nhl players page and names tiger woods - rather than a fellow hockey player - as his favorite athlete.
