difficulty	preference	context	aspect	direct	opinion	argument	reason	method	factoid	super	comp	question	item1	item2	item3	comp_aspect1	comp_aspect2	non-serious	navigational	spelling	rude	not question	dataset
0	0	0	0	0	0	0	0	0	0	0	0	how to install samba on ubuntu	0	0	0	0	0	0	0	0	0	0	m
1	0	0	0	0	0	0	0	0	0	0	0	when is best time to buy airline tickets	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	depreciation rate for replacement windows	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what is the spanish name for isabella	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how to write the date month and year	0	0	0	0	0	0	0	0	0	0	m
1	0	0	0	0	0	0	0	0	0	0	0	what pathway can glycerol be derived from?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what does the fear demon say to solas	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	who discovered ancient braces	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	define epigenetic	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what causes arthritis easy anwser	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	meaning of the writ	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	cost to sandblast concrete	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what city is fort meade maryland in	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what your iq means	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how many acute rehab are in seattle	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how to make a strawberry cleaner	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how many carbs can you eat in one day and lose weight	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how to build a motorcycle	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is paramotors?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	who is the headless rider in skyrim	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	swelling of ankles and legs is what	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	identity theft insurance cost	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what is pond outflow	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what tool measures den	0	0	0	0	0	0	0	0	0	0	m
1	0	0	0	0	0	0	0	0	0	0	0	what county is las vegas in?	0	0	0	0	0	0	0	0	0	0	m
1	0	0	0	0	0	0	0	0	0	0	0	what team did michael vick play for	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how to change control arms on a bmw car	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	word to describe how someone speaks	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what certifications are required for telemetry technician	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what is raise the age law	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	mulesoft share price	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	how to clean printheads hp photosmart	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	was adam rose tag team partners with fandango	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what nail polish is dissolved in a stone which substance is the salute in which is the solvent	0	0	0	0	0	0	0	0	0	0	m
1	0	0	0	0	0	0	0	0	0	0	0	different religions beliefs on afterlife	0	0	0	0	0	0	0	0	0	1	m
1	1	1	0	0	1	1	0	0	0	0	1	what food to eat to build abs muscle.	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	cost of travelling the world	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	why does april fools day exist	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	how is a cast fossil formed?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	is topo chico water bad for you?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	what are the responsibilities /roles of the president?	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	where do you palpate in a meniscus tear	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	0	0	0	0	0	0	0	0	world series of poker	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	voice of tron bonne	0	0	0	0	0	0	0	0	0	1	m
0	0	0	0	0	0	0	0	0	0	0	0	what is moonshine glaze	0	0	0	0	0	0	0	0	0	0	m
0	0	0	0	1	0	0	1	0	0	0	1	differences between t-test and anova	0	0	0	0	0	0	0	0	0	1	m
