difficulty	preference	context	aspect	direct	opinion	argument	reason	method	factoid	super	item 1	item 2	comp_aspect1	comp_aspect2	comp	question	non-serious	navigational	spelling	rude	not question	dataset	item1	item2	item3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	how to install samba on ubuntu						m			
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	when is best time to buy airline tickets						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	depreciation rate for replacement windows					1.0	m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what is the spanish name for isabella						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	how to write the date month and year						m			
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what pathway can glycerol be derived from?						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what does the fear demon say to solas						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	who discovered ancient braces						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	define epigenetic					1.0	m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what causes arthritis easy anwser						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	meaning of the writ					1.0	m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	cost to sandblast concrete					1.0	m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what city is fort meade maryland in						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what your iq means						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	how many acute rehab are in seattle						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	how to make a strawberry cleaner						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	how many carbs can you eat in one day and lose weight						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	how to build a motorcycle						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what is paramotors?						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	who is the headless rider in skyrim						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	swelling of ankles and legs is what						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	identity theft insurance cost					1.0	m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what is pond outflow						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what tool measures den						m			
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what county is las vegas in?						m			
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what team did michael vick play for						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	how to change control arms on a bmw car						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	word to describe how someone speaks						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what certifications are required for telemetry technician						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what is raise the age law						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	mulesoft share price					1.0	m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	how to clean printheads hp photosmart						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	was adam rose tag team partners with fandango						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what nail polish is dissolved in a stone which substance is the salute in which is the solvent						m			
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	different religions beliefs on afterlife					1.0	m			
1	1	1	0	0	1	1	0	0	0	0	food	food	0	0	1	what food to eat to build abs muscle.						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	cost of travelling the world					1.0	m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	why does april fools day exist						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	how is a cast fossil formed?						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	is topo chico water bad for you?						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what are the responsibilities /roles of the president?						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	where do you palpate in a meniscus tear						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	world series of poker					1.0	m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	voice of tron bonne					1.0	m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what is moonshine glaze						m			
0	0	0	0	1	0	0	1	0	0	0	t-test	anova	0	0	1	differences between t-test and anova					1.0	m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what type of steel is identified by a three digit number						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	when my heart is overwhelmed scritpure					1.0	m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	how many people in the united states watch cnn news						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	how does safe exchanges work						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	how long does naturalization process take?						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	is universal vacation resorts a scam						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	why is it called the cn tower						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	southpaw meaning origin					1.0	m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what makes up the calves anatomy						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	when do they strip membranes during pregnancy						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	how many teeth sharks get						m			
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what is the meaning of browser						m			
