question,short_answ,long_answ,explanation
usa vs japan score,['5-2'],['USA vs Japan score is 5-2. '],Women's World Cup 2015 final: USA beat Japan 5-2 – as it happened. 1  Carli Lloyd propels the US to victory. 2  Full game report: Lloyd shreds Japan.
what is adobe shockwave player vs flash player,['Flash is the most widespread standard for showing online videos while Shockwave is used mostly for creating and implementing online games.'],['Flash is the most widespread standard for showing online videos while Shockwave is used mostly for creating and implementing online games.'],"Re: What is difference between Shockwave Player and Flash Player? jayarjo Nov 24, 2011 9:38 AM (in response to FlashPlayerStruggler) Not that it totally clarifies the case, but here's what the resource over here tells: Flash and Shockwave Players are both free Web Players from Adobe."
if a test measures what it is suppose tk measure than what is it,['Validity'],['If a test measures what it is suppose to measure than it is validity.  '],"Validity refers to the accuracy of an assessment -- whether or not it measures what it is supposed to measure. Even if a test is reliable, it may not provide a valid measure. Let’s imagine a bathroom scale that consistently tells you that you weigh 130 pounds."
can a persons credit get better aftef a year?,['no'],"[""No, a person's credit can not get better after a year.""]",You may want to apply for a secured credit card that can be used in moderation and paid off each month. Secured credit cards use your savings account as collateral for the credit limit and are easier to be approved for than a standard credit card.
is kb bigger than mb,"['No, Megabyte is greater than Kilobyte.']","['No, kilobyte is not bigger than megabyte.']","1 Please upload a file larger than 100x100 pixels. 2  We are experiencing some problems, please try again. 3  You can only upload files of type PNG, JPG, or JPEG. 4  You can only upload files of type 3GP, 3GPP, MP4, MOV, AVI, MPG, MPEG, or RM.  You can only upload photos smaller than 5 MB."
verrazano-narrows bridge vs golden gate bridge,['Verrazano-Narrows Bridge is 60 feet longer than the Golden Gate Bridge.'],"[""The 4,200-foot long suspension span of the Golden Gate Bridge was the longest span in the world from the time of its construction in 1937 until New York City's Verrazano Narrows Bridge was opened on November 21, 1964.It is 60 feet longer than the Golden Gate Bridge.""]","Not any more. The 4,200-foot long suspension span of the Golden Gate Bridge was the longest span in the world from the time of its construction in 1937 until New York City's Verrazano Narrows Bridge was opened on November 21, 1964.It is 60 feet longer than the Golden Gate Bridge.The Verrazano was the longest single span bridge until July 17, 1981, when the Humber Bridge in England, spanning the Humber River, was opened for traffic with a main span of 4,626 feet.he fabricated steel used in the construction of the Golden Gate Bridge was manufactured by Bethlehem Steel in plants in Trenton, New Jersey and Sparrows Point, Maryland and in plants in three Pennsylvania towns: Bethlehem, Pottstown, and Steelton."
death penalty cost vs life imprisonment,"['The average cost of a Texas death penalty case is $2.3 million vs. $750,000 for life in prison.']","['The average cost of a Texas death penalty case is $2.3 million vs. $750,000 for life in prison.']","The cost is higher.. However, the cost of capital punishment is more expensive than life imprisonment. Maryland tax payers paid an unnecessary 186 millions over 20 years to pay for capital punishment cases that could have been used for much better things towards society. California spent over 4 billion dollars for 13 executions."
frequency range vs response,"['he frequency range respresented on this graph is 20Hz to 20,000Hz (20kHz), which is the range of typical human hearing. By looking at this frequency response graph, we can see how capable the speaker is at reproducing the frequencies we can hear.']","['The difference between frequency range and response is frequency range respresented on this graph is 20 hertz to 20,000 hertz, which is the range of typical human hearing. By looking at this frequency response graph, we can see how capable the speaker is at reproducing the frequencies we can hear.']","Frequency Response is the Frequency Range versus Amplitude. In other words, at 20 Hz, a certain input signal level may produce 100 dB of output.At 1 kHz, that same input level may produce 102 dB of output. At 10 kHz, 95 dB, and so on.his does not mean that the speaker won’t reproduce frequencies outside this range, it will! But frequencies outside the range will be more than 3 dB off from the reference level. For further information, see also May 5th’s inSync Word For The Day, “Flat Response”, available in the inSync Archives."
is chlorine gas heavier than air,"['Yes,Chlorine as a gas is. 2.5 times heavier than air.']","['Yes, chlorine gas is heavier than air.']","Although non-flammable, chlorine is a strong oxidizer and. may react to cause fire and/or explosion upon contact with. turpentine, ether, ammonia, hydrocarbons, certain metal. hydrides, carbides, nitrides, oxides, sulfides, phosphides, easily oxidized materials, organic materials or other. flammables."
is kb more than a mb,['No'],"['No, kilobyte is not more than megabyte.']","1024 = 210. No, a kilobyte is 1024 bytes, a MB is 1024*1024 bytes = 1048576 bytes. MB (MegaByte) is much bigger than KB (kilobyte). One MB = 1024KB. <br /><br /> You may wonder why multiples of 1024 are used rather than 1000. After all, the prefix kilo- means 1000."
is walk in cooler a medium temperature or low temperature refrigeration,['Medium temperature'],['A walk-in cooler has a medium temperature refrigeration.'],"Flowers do best with High Humidity and Low Velocity refrigeration Aside from the box temperature, other considerations that are particular to medium temperature applications (walk-in coolers & refrigerators) are the air velocity and humidity of the refrigerated space."
is project m better than melee,"['No', 'Yes']","['No, project M is not better than melee.']","The logo for Project M. Project M is a gameplay modification of Super Smash Bros. Brawl designed to make the gameplay more closely resemble that of Super Smash Bros. Melee mainly, and also Super Smash Bros. to a lesser extent.This means that the speed of gameplay has been generally increased, with many Melee mechanics being restored.inal Destination. Reverted to Melee 's version to fix issues with getting stuck underneath Brawl 's edges when returning (despite a Project M fix for Brawl 's Final Destination already being available). Also replaces Opening (Super Smash Bros. Melee) with Multi-Man Melee 2."
is barcelona vs atletico madrid on tv,['yes'],"['Yes, Atletico Madrid Vs Barcelona match is live on TV.']","Thanks to Real Madrid's slip-up last week, Barcelona can clinch the La Liga title on Sunday against Atletico Atlético. Madrid'they re guaranteed to lift the title if they win or If Real madrid, lose while a draw would still be an excellent. result"
is helium a solid liquid or gas,['Gas'],['Helium is a gas.'],"1 Air: The mixture of gases that surrounds the Earth, which is made up of oxygen, nitrogen, and other gases. 2  Property: A quality that something is known by; characteristic.  Solid: A form of matter that has a definite shape or form that can be measured in length, width, and height; not like a liquid or gas."
is it better to have default instance or named instance,['Default'],['It is better to have a default instance.'],"If a default instance is listening on a port other than the standard 1433 port, you can provide an alias or change the global default port. You can also connect to the instance of SQL Server by using its server name, its FQDN, or its IP address followed by a comma and the port number.”."
metal gear solid the phantom pain release,"['September 1, 2015']","['The release of Metal Gear Solid: The Phantom Pain was September 1, 2015.']","Konami has revealed the release date for Metal Gear Solid V: The Phantom Pain. If you plan to play on Xbox One, Xbox 360, PS4, or PS3, you can get your hands on the next MGS game on September 1. The game will be released for PC on Steam a few weeks later on September 15."
is edge slower than firefox,['No'],"['No, Edge is not slower than Firefox.', 'The edge is not slower than firefox.']","Page Annotations Edge has the feature of markup web pages with a highlighter or drawing tool and then share them as an image file in email or social apps. This feature is present in the famous browser like Mozilla Firefox, Google Chrome, and Apple Safari."
