domain	object_a	object_b	Google	Yahoo Answers	Quora	Eval	Quora Link
compsci	JavaScript	Perl			Is JavaScript faster than Perl? For some tasks, yes. For others, Perl is faster. In the linked benchmark shootout, Node.js beat Perl (often by a wide margin) in 8 out of 10 benchmarks. However, this ignores a vital difference between the languages. Perl has a method (the Inline module) that allows us to include C functions right inside our Perl script. You can write node.js extensions in c++ but these are external modules that have to be compiled seperately. With Inline C in perl you can mix C and Perl source code in the same file; compilation is automatic and transparent.		https://www.quora.com/Is-JavaScript-faster-than-Perl
compsci	Windows 8	Windows 7			Windows 8 lasted less than 48 hours on my desktop before I reverted to 7. It was an incredibly short-sighted decision to force a touch-friendly interface on my entirely non-touch desktop system. And the “return of the Windows button” bringing up that same screen full of tiles in 8.1 did not impress me either. I think the best operating system shipped out of Redmond would have to be Windows 7. Here’s why: Instead of having the majority of settings available from the Control Panel, some have shifted to the Settings app while others remained where they were. I still don’t see the logic in that move. Microsoft is working hard to remove the personal from personal computer. Users have far less control of their own systems than was possible with previous versions.		https://www.quora.com/What-is-your-favorite-Microsoft-Windows-version-in-history
compsci	Scala	Java			I have limited experience with Scala on Android in combination with libGDX library. I must say that setting up environment is much more difficult compared to Java. If you want to support older versions of Android you'll need to use some way of circumventing older Android's VM limits (number of classes), because Scala's basic library is huge.	?	https://www.quora.com/Are-there-drawbacks-in-developing-for-mobile-in-Scala-vs-in-Java-in-2014
compsci	Swift	Objective-C			Learning Objective-C is a little bit harder to learn. But Objective-C is all C - check the headers. I love C and using Objective-C as my desired programming language. There are a lot of programming books in C. So if you tend to stay into programming for a long time, I recommend learning C. I don’t believed what some people are saying that programmers stay from 50–60hours work week. So if you’re not fully prepared in doing some coding, expect long hours.		https://www.quora.com/Is-Swift-more-popular-than-Objective-C
compsci	PHP	Java			It isn't correct to compare Java to PHP. Since PHP is a server-side scripting language whereas Java is a general-purpose language. In other words, PHP is only used as a server-side language where Java is both for the server-side and desktop programming language. Moreover, Java is compiled and strongly-typed language. On another hand, PHP is a dynamically typed language. Hence, only for server-side programming, the comparison between Java and PHP makes sense.		https://www.quora.com/Which-one-is-the-best-programming-language-Java-or-PHP
compsci	Apple TV	iOS			1. Connecting with iSight Camera for iChat/FaceTime. 2. Direct plugin port for satellite/cable for TV broadcast. 	?	https://www.quora.com/What-would-be-the-coolest-things-to-do-with-Apple-TV-the-set-top-box-apart-from-the-iOS-and-App-Store
compsci	Ruby	Python			If you’re new to this and just getting started, there’s no wrong answer here, but I would advise you to start with a smaller project that has a realistic completion and end-state (e.g. “I’m going to make a TODO app” or “I’m going to make a website that manages my bookmarks.”, and not “I’m going to make a new Social Media platform that’s going to be a game-changer and it’s going to make me money.” don’t do that.) As a side-note, scripting languages such as Python and Ruby tend to be a little easier to pickup than compiled languages because you can tinker with them a bit more easily. (Compiled languages would have you write the source, then compile it, then run it. You can step through it with a debugger, but you can’t jump into the interpreter command-line and just try stuff out like you can with Python or Ruby)	?	https://www.quora.com/Which-should-I-choose-Python-or-Ruby
compsci	Java	Perl			Perl is still a very useful language, and has a vibrant community releasing major and minor upgrades multiple times per year. There are more Perl programmers today than during the first dot-com boom. It’s just a smaller piece of a much bigger pie. The biggest problem Perl faces is that managers can’t find enough Perl people to hire. The kids all want the latest cool languages, believing Perl is past its prime. This unfortunately influences some managers to abandon Perl, because they can’t find anyone. Sad.		https://www.quora.com/Have-you-worked-on-a-Perl-script-in-2019-where-Python-Java-Go-and-other-alternatives-are-widely-available
compsci	Python	Java			Python better for short programs/prototyping, Java better for big projects/mission-critical stuff. Details follow. I use both Python and Java on a daily basis, mixing and matching as the needs require. Increasingly my workflow is prototype in Python, then migrate to Java once we've got the design right, worked out the kinks. Python is much quicker to prototype in. Things like the functional programming, lists as first-order primitives, tuple return values, "duck" typing and the fact that the console is available for debugging easily and testing quickly really give it an edge. Python is my "1000-line" language -- it's what I use for projects that expect to be around 1000 lines long. It works well for procedural tasks. It is also very concise. However, Python doesn't scale as well as Java for large projects. Java is my "100,000-line" programming language: what I used for complicated data structures, mission critical services, etc. Its static typing really makes it more manageable at large code scales; or where you are building "toolkits" that need to be re-used to implement a wide range of functionality, or across many applications. With Python, you'll get AttritbuteError: None, and not know exactly what to do with it.		https://www.quora.com/What-are-the-pros-and-cons-of-using-Python-vs-Java
compsci	Windows XP	Windows 98			So many answers. Firstly, Windows 98 is an MS DOS based, emulated 32Bit OS. Windows XP is the real McCoy. It is based on Windows NT. Windows 98 SE uses FAT32 and has a partition size limit of 127GB (or 137GB depending on how you count kb). Networking is possible, but it doesn’t have the benefits and security of an NT-based system; the RAM limit is 2GB (in fact, even the 32 bit Windows 10 has a limit of 4GB of RAM as opposed to the 64 bit, which can have up to 512 GB); Windows 98, because of the limitations of the FAT system, does not support files larger than 2GB; and many more differences. The point is that Windows 95, 98, and 98SE were great in their times, and opened doors to what we have today. Windows XP (SP3) was the longest living OS ever. People still ask questions about it, but none compares to Windows 95 in 1995. That was when the “revolution” started.		https://www.quora.com/What-is-the-difference-between-Windows-98-and-XP
compsci	JavaScript	PHP			Regarding the functionalities, PHP is a server-side language so you can: Access server resources (if allowed by the server) like memory, CPU, time, CURL, etc. Access filesystem (read, write, copy, move, delete, etc). Interact with Database. Keep your source files invisible. Deny users to control the output using 3rdParties like firebug. Even control JavaScript outputs. Control the output headers.	?	https://www.quora.com/What-can-PHP-do-that-JavaScript-cant
compsci	Ethernet	USB			You could safely say Ethernet is faster than USB since that's true most of the time. Ethernet links have reached speeds of 100Gbps and are marching towards 400G and higher add technology improves. Ethernet also supports aggregating multiple links into a bundle to give arbitrarily high bandwidths. USB seems to have a max of ~5Gbps, nowhere close to Ethernet.		https://www.quora.com/Which-is-faster-USB-or-Ethernet
compsci	PostgreSQL	Oracle			I think the main difference lies in the consequent enterprise orientation of Oracle - they developed additional functionality which is extremely practical for enterprise users, e.g. flashback, in-memory features, optimizer plan stability, LDAP integration. database file encryption, performace views for monitoring, materialized views, result caching, transaction handling in PL/SQL etc. I know, a lot of these features are somehow also available in PostgreSQL, e.g. if you use additional modules, but Oracle delivers them as one neat, integrated package. If you happen to need the enterprise features, then a migration might be painful.		https://www.quora.com/What-are-the-pros-and-cons-of-migrating-from-Oracle-11g-to-PostgreSQL
compsci	MySQL	SQLite			SQLite is a public domain, open-source project. It is what is called an “embedded” database which means the DB engine runs as part of your app. MySQL is also open-source but is owned by Oracle. MySQL is a database server so you have to install it somewhere and then connect to it from your app.  SQLite is often used for an app to maintain its own data. For example, a web browser might use SQLite to store its bookmarks. A database server such as MySQL is used to store data that is typically accessed by multiple users and apps.		https://www.quora.com/What-are-the-differences-between-SQLite-and-MySQL-Are-they-both-the-same-company
compsci	Smalltalk	Java			One of the differences is that Java is statically-typed while Smalltalk is dynamically-typed. This means that in Java, every variable and every expression in the language, has a type that is determined at compile time, and this static type determines what the compiler will let you do. In Smalltalk, there is no static type. Another difference that is related to the above is that in Java, a method call expression or field access expression is only allowed if that field or method is provided by the static type of the expression to the left.		https://www.quora.com/What-is-the-difference-between-Smalltalk-and-Java
compsci	Haskell	Java			The two languages present entirely different ways of programming (OOP vs FP). Java’s ecosystem is much larger and richer. Java is much more versatile. So it rather depends on the type of application you’re writing. Haskell compiles to native code, while Java runs on a byte-code virtual machine.		https://www.quora.com/Can-we-use-Haskell-in-place-of-Java-If-so-will-it-improve-the-performance-of-the-application
compsci	Groovy	Java			Since Java 8 introduced lambda expressions and a degree of functional programming is possible, Groovy is however less interesting. The Groovy author is quoted that if he knew about Scala, he would not have started a new language.		https://www.quora.com/When-is-Groovy-preferred-over-Java
compsci	Java	Lisp			Java is an object-oriented programming language that focuses on providing all the high-level features needed to work on AI projects, it's portable, and it offers in-built garbage collection. The Java community is also a plus point as there will be someone to help you with your queries and problems. Java is also a good choice as it offers an easy way to code algorithms, and AI is full of algorithms, be they search algorithms, natural language processing algorithms or neural networks. Not to mention that Java also allows for scalability, which is a must-have feature for AI projects. Lisp fares well in the AI field because of its excellent prototyping capabilities and its support for symbolic expressions. It's a powerful programming language and is used in major AI projects, such as Macsyma, DART, and CYC.		https://www.quora.com/Which-language-Python-R-Java-C-or-Lisp-is-best-to-learn-artificial-intelligence
compsci	PHP	Python			PHP has grown up over the years to a very powerful language. PHP is a server side language which means it's strength is is the backend processing that it can do. Python is a scripting language that was designed to work on a Linux platform. Because it is so flexible, people have made web servers for it but its still not a web server by design.		https://www.quora.com/PHP-vs-Ruby-Python-and-Javascript
compsci	Python	Bash			Bash is necessary for general interaction with the kernel. If it didn't exist,would be necessary to invent it. It is great for automating many tasks, coupled with many other Linux programs like sed ,awk, find, grep etc. However, since bash is not inherently object oriented, nor terribly structured, Python is a better choice for larger programs, easier to understand., etc. Also , one can can create graphical programs in Python . This is not commonly done in bash	?	https://www.quora.com/Which-is-better-for-Linux-Bash-or-Python
compsci	Python	Perl			Python does not trust the programmer to write a readable code, and limits the language in places where people may misunderstand code. The most extreme example is with “indentation as part of the syntax”. Perl prefers to give the programmer as much as possible syntactic choices, in the hopes that it will result in a readable, or shorter, code. That’s why so much perl code out-there looks like random garbage		https://www.quora.com/What-is-the-basic-difference-between-Python-vs-Perl
compsci	Eclipse	NetBeans			Probably the biggest difference that will affect you, between Eclipse and NetBeans, is the way they manage projects. Eclipse invented their own concept of what a “project” is, and build tools such as Make, Ant, Maven, Gradle, etc. have to be shoehorned into that. This is what makes using something like Maven in Eclipse painful. With NetBeans, we made a very conscious decision to use existing build tools’ metadata as NetBeans projects. So if a folder has a build file in it, it simply is a project. If you’re just learning programming, that won’t affect you much. But if you’re working professionally, on existing projects and other people’s code, it makes a huge difference		https://www.quora.com/Which-is-better-Eclipse-or-NetBeans-Why
compsci	CUDA	OpenCL			Currently CUDA is more efficient in terms of development cost and execution time since it has more uniform structure with its unique CUDA devices and environment. OpenCL tries to keep up all the GPU devices thus their doing is even longer for all the configuration needs and the execution time is relatively more costly. I suggest to go with CUDA if you have compatible device otherwise the only choice is OpenCL.		https://www.quora.com/Parallel-Computing-CUDA-vs-OpenCL-what-is-the-most-efficient
compsci	MySQL	Oracle			The difference is that MySQL is free, and the world's most popular database, and Oracle isn't free (except with trials and certain products) and makes billions from selling premium database software to large enterprises and SME.		https://www.quora.com/Whats-the-difference-between-Oracle-and-MySQL
compsci	Python	Lisp			Python is one of the most widely used programming languages in the AI field of Artificial Intelligence thanks to its simplicity. It can seamlessly be used with the data structures and other frequently used AI algorithms. Lisp fares well in the AI field because of its excellent prototyping capabilities and its support for symbolic expressions. It's a powerful programming language and is used in major AI projects, such as Macsyma, DART, and CYC.		https://www.quora.com/Which-language-Python-R-Java-C-or-Lisp-is-best-to-learn-artificial-intelligence
