difficulty	preference	context	aspect	direct	opinion	argument	reason	method	factoid	super	item1	item2	item3	comp_aspect1	comp_aspect2	comp	question	non-serious	navigational	spelling	rude	not question	dataset

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	do male seahorses give birth to the babies						g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	i thank you for the years shirley bassey					1.0	g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	analyse the interrelationship of project scope schedule finance risk quality and resources					1.0	g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	who sings the vocals on feel it still						g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	how did the guy from hogan's heroes die						g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	which state was returned to spain after the revolutionary war						g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	do you need a background check to buy a shotgun in pa						g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	who plays max on the secret life of pets						g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	when is the last time minnesota vikings won a superbowl						g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	where is the world series 2017 going to be held						g

0	1	0	1	0	0	0	0	0	1	1	temperature recorded in new york state 	temperature recorded in new york state 	0	coldest	temperature level	1	what is the coldest temperature recorded in new york state						g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what was an agreement made by the allies at the potsdam						g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	when did japan first exist as a unified state						g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	what selection pressure could act on apolipoprotein a1-milano to help it spread through a population						g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	who played mr clark on grey's anatomy						g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	who pays for refugee camps and their needed supplies						g

0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	who won ru paul drag race all stars 3						g
